date,product_id,quantity,price,customer_id,region
2024-01-13,PROD-002,7,356.27,CUST-0302,WEST
2024-01-13,PROD-005,6,392.47,CUST-0128,SOUTH
2024-01-13,PROD-003,7,50.31,CUST-0247,EAST
2024-01-13,PROD-010,9,360.44,CUST-0181,WEST
2024-01-13,PROD-002,9,103.46,CUST-0089,WEST
2024-01-13,PROD-018,3,495.97,CUST-0401,EAST
2024-01-13,PROD-010,7,421.65,CUST-0337,WEST
2024-01-13,PROD-009,8,192.02,CUST-0219,NORTH
2024-01-13,PROD-018,9,251.36,CUST-0428,SOUTH
2024-01-13,PROD-019,7,67.34,CUST-0048,SOUTH
2024-01-13,PROD-016,7,352.28,CUST-0187,NORTH
2024-01-13,PROD-008,1,410.75,CUST-0390,EAST
2024-01-13,PROD-013,9,261.32,CUST-0270,EAST
2024-01-13,PROD-004,7,466.84,CUST-0333,WEST
2024-01-13,PROD-006,6,428.8,CUST-0053,SOUTH
2024-01-13,PROD-003,3,99.59,CUST-0226,WEST
2024-01-13,PROD-006,8,283.8,CUST-0318,NORTH
2024-01-13,PROD-006,3,470.06,CUST-0256,EAST
2024-01-13,PROD-012,1,367.44,CUST-0349,EAST
2024-01-13,PROD-005,4,339.65,CUST-0425,EAST
2024-01-13,PROD-007,6,378.32,CUST-0045,EAST
2024-01-13,PROD-010,2,36.22,CUST-0205,NORTH
2024-01-13,PROD-004,1,281.63,CUST-0461,NORTH
2024-01-13,PROD-008,2,474.77,CUST-0279,SOUTH
2024-01-13,PROD-008,8,463.02,CUST-0111,EAST
2024-01-13,PROD-013,7,13.15,CUST-0156,NORTH
2024-01-13,PROD-016,7,248.76,CUST-0210,EAST
2024-01-13,PROD-017,7,468.23,CUST-0498,NORTH
2024-01-13,PROD-014,2,93.65,CUST-0469,SOUTH
2024-01-13,PROD-016,7,326.83,CUST-0467,WEST
2024-01-13,PROD-015,9,239.48,CUST-0364,EAST
2024-01-13,PROD-001,9,224.71,CUST-0182,EAST
2024-01-13,PROD-001,3,379.33,CUST-0208,NORTH
2024-01-13,PROD-015,1,388.96,CUST-0441,WEST
2024-01-13,PROD-008,1,309.28,CUST-0042,SOUTH
2024-01-13,PROD-019,7,71.49,CUST-0273,NORTH
2024-01-13,PROD-008,7,464.4,CUST-0342,SOUTH
2024-01-13,PROD-006,5,377.22,CUST-0499,SOUTH
2024-01-13,PROD-008,9,148.57,CUST-0371,EAST
2024-01-13,PROD-017,5,481.13,CUST-0063,WEST
2024-01-13,PROD-019,7,140.09,CUST-0273,SOUTH
2024-01-13,PROD-019,8,165.6,CUST-0450,SOUTH
2024-01-13,PROD-005,3,258.1,CUST-0214,SOUTH
2024-01-13,PROD-017,4,482.05,CUST-0308,SOUTH
2024-01-13,PROD-017,9,179.97,CUST-0188,SOUTH
2024-01-13,PROD-019,3,79.71,CUST-0184,EAST
2024-01-13,PROD-001,2,495.93,CUST-0097,EAST
2024-01-13,PROD-012,8,470.11,CUST-0370,WEST
2024-01-13,PROD-006,9,127.59,CUST-0184,WEST
2024-01-13,PROD-014,9,457.48,CUST-0067,SOUTH
2024-01-13,PROD-010,9,378.08,CUST-0448,WEST
2024-01-13,PROD-010,3,453.14,CUST-0005,EAST
2024-01-13,PROD-016,1,13.37,CUST-0460,NORTH
2024-01-13,PROD-012,2,429.5,CUST-0434,WEST
2024-01-13,PROD-012,7,154.59,CUST-0176,EAST
2024-01-13,PROD-016,1,225.63,CUST-0066,SOUTH
2024-01-13,PROD-003,5,220.68,CUST-0433,WEST
2024-01-13,PROD-001,4,151.09,CUST-0143,SOUTH
2024-01-13,PROD-014,4,369.6,CUST-0025,NORTH
2024-01-13,PROD-005,6,452.18,CUST-0112,WEST
2024-01-13,PROD-015,7,332.74,CUST-0018,NORTH
2024-01-13,PROD-003,6,266.34,CUST-0192,EAST
2024-01-13,PROD-008,2,284.68,CUST-0180,NORTH
2024-01-13,PROD-008,7,134.43,CUST-0192,NORTH
2024-01-13,PROD-013,5,237.35,CUST-0056,EAST
2024-01-13,PROD-013,6,115.2,CUST-0073,EAST
2024-01-13,PROD-016,2,372.04,CUST-0188,EAST
2024-01-13,PROD-011,7,94.54,CUST-0379,WEST
2024-01-13,PROD-009,7,485.16,CUST-0469,WEST
2024-01-13,PROD-015,2,34.67,CUST-0052,NORTH
2024-01-13,PROD-012,1,234.39,CUST-0040,NORTH
2024-01-13,PROD-015,1,133.9,CUST-0191,SOUTH
